
                  mean       std    median      5.0%     95.0%     n_eff     r_hat
          D0      0.03      0.03      0.02      0.00      0.07   1331.99      1.00
          E0 107299.54  27015.71 106642.46  64224.54 150528.00    408.02      1.01
          H0      0.06      0.06      0.04      0.00      0.14   1340.81      1.00
          I0     97.66     35.11     92.37     43.16    146.95    357.22      1.01
     beta[0]     24.30      8.52     22.98     11.68     36.67    696.22      1.00
     beta[1]     36.05     13.53     33.80     14.00     54.74    721.81      1.00
     beta[2]     53.47     20.77     50.68     22.48     82.53    665.84      1.00
     beta[3]     78.67     30.67     74.35     34.12    125.05    591.95      1.00
     beta[4]    113.61     44.05    107.19     46.44    181.81    621.47      1.00
     beta[5]    160.37     62.44    150.22     69.83    263.02    580.32      1.00
     beta[6]    219.81     84.73    204.08     94.76    350.27    589.24      1.00
     beta[7]    282.77    102.68    264.34    131.32    437.12    607.03      1.00
     beta[8]    345.96    125.23    323.60    152.88    533.79    498.17      1.00
     beta[9]    386.40    139.92    362.18    182.50    589.23    381.48      1.00
    beta[10]    413.88    155.21    385.51    178.46    635.59    382.91      1.00
    beta[11]    407.31    143.50    386.58    198.07    635.23    380.78      1.00
    beta[12]    399.55    147.71    373.72    160.57    602.60    402.07      1.01
    beta[13]    391.07    142.90    369.30    185.29    616.26    391.23      1.01
    beta[14]    382.80    140.14    362.49    170.33    586.41    345.80      1.01
    beta[15]    387.34    144.55    361.13    166.12    601.32    381.10      1.01
    beta[16]    398.73    151.51    372.68    180.03    623.12    407.26      1.01
    beta[17]    426.23    159.77    406.16    167.77    646.11    312.28      1.01
    beta[18]    472.35    177.96    444.17    212.20    755.00    359.95      1.01
    beta[19]    530.09    201.79    491.00    236.59    854.96    397.67      1.01
    beta[20]    598.56    226.21    562.62    251.11    952.65    329.76      1.01
    beta[21]    672.28    253.85    638.35    277.59   1032.81    305.89      1.00
    beta[22]    760.17    305.97    710.90    299.01   1196.96    334.65      1.00
    beta[23]    844.53    358.18    781.56    333.42   1346.53    332.67      1.00
